
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:38:30 /api/leads/delayed ................................................................. ~ 502.78ms
  2026-06-02 15:39:31 /api/leads/delayed ................................................................. ~ 501.28ms
  2026-06-02 15:39:57 /api/notifications ................................................................. ~ 502.14ms
  2026-06-02 15:40:32 /api/leads/delayed ................................................................. ~ 505.62ms
  2026-06-02 15:41:33 /api/leads/delayed ................................................................. ~ 506.25ms
  2026-06-02 15:41:58 /api/notifications ................................................................. ~ 514.44ms
  2026-06-02 15:42:10 /api/leads/delayed ....................................................................... ~ 2s
  2026-06-02 15:43:11 /api/leads/delayed ................................................................. ~ 501.06ms
  2026-06-02 15:44:40 /api/notifications ................................................................. ~ 501.03ms
  2026-06-02 15:44:40 /api/leads/delayed ................................................................. ~ 501.24ms
  2026-06-02 15:45:40 /api/leads/delayed ................................................................. ~ 501.43ms
  2026-06-02 15:46:40 /api/notifications ................................................................. ~ 501.53ms
  2026-06-02 15:46:40 /api/leads/delayed ....................................................................... ~ 1s
  2026-06-02 15:47:40 /api/leads/delayed ................................................................. ~ 501.51ms
  2026-06-02 15:48:40 /api/notifications ................................................................. ~ 502.35ms
  2026-06-02 15:48:40 /api/leads/delayed ................................................................... ~ 0.49ms
  2026-06-02 15:49:40 /api/leads/delayed ................................................................... ~ 1.85ms
  2026-06-02 15:50:40 /api/notifications ................................................................. ~ 501.87ms
  2026-06-02 15:50:40 /api/leads/delayed ................................................................. ~ 500.62ms
  2026-06-02 15:51:40 /api/leads/delayed ................................................................. ~ 501.22ms
  2026-06-02 15:52:40 /api/notifications ................................................................. ~ 501.58ms
  2026-06-02 15:52:40 /api/leads/delayed ................................................................. ~ 501.16ms
  2026-06-02 15:53:40 /api/leads/delayed ................................................................. ~ 502.33ms
  2026-06-02 15:54:40 /api/notifications ................................................................. ~ 502.08ms
  2026-06-02 15:54:40 /api/leads/delayed ................................................................... ~ 0.50ms
  2026-06-02 15:54:45 /api/landing-pages ................................................................. ~ 501.47ms
  2026-06-02 15:54:45 /api/sources ....................................................................... ~ 501.09ms
  2026-06-02 15:54:45 /api/campaigns ........................................................................... ~ 1s
  2026-06-02 15:54:46 /api/landing-pages ................................................................. ~ 508.46ms
  2026-06-02 15:54:46 /api/sources ....................................................................... ~ 507.14ms
  2026-06-02 15:54:46 /api/campaigns ........................................................................... ~ 1s
  2026-06-02 15:54:47 /api/auth/meta/status ................................................................ ~ 0.50ms
